# ElGamal Encrypted File
# p=4066448147
# g=2
# D2=2674633987
# C2=3001169711
# Encrypted data (r,e pairs):
3186989488,1211781902
1669288167,631951639
3917819922,119965351
737391467,1122100701
1196348865,3390483688
2086279896,3547053164
3786111255,3175036756
3687601381,1420388959
2833152636,2757367369
3385409366,252392350
767491342,1647030864
2936464840,1550296472
385533895,415193198
273437880,19714274
743086634,2096129943
992060562,319297677
3537112758,1270712857
3081770536,733439960
2619631676,738946333
1453144637,2957465483
1717322612,3915332097
2167474585,1070017386
679673715,2814314126
165251444,1559195321
1715432751,857359565
1709336186,3976096049
2945463141,669321652
2016246282,1917016031
2303319727,1849978895
1611970128,2972008609
707586710,3468784995
2114095334,2075663852
2633942628,1108691370
2862908910,1447639662
3732737026,3858671013
2450344032,2110518103
1110017345,2757947800
3091754073,2179797975
1461252331,2747206932
1534068330,2773590499
955319058,3918050239
2506751300,3741605382
3108811253,1647122189
2101732600,1956753936
3114459547,1767298629
540343481,2864936201
419775076,1368100354
2268450202,2472313821
3200854631,1953803247
3412983825,674422571
2866277747,1325875872
1729820154,3561645660
1031015066,2006670250
3627021947,3858936455
2186873912,993130072
3865404083,306729457
3919571439,67455815
3035332882,2440934024
795556006,1104742590
3300611866,1983426486
1826002364,3192412438
1211549652,3712566011
1050104498,2484598794
883718419,3906438792
437803144,27702394
3256996968,146912296
3976254835,2256666602
3762753558,2235002748
3416125793,1186154503
3784228304,3181551406
3425596570,457140791
3260379925,3051781534
408436943,3992651584
2380295765,950354145
3049788929,1548627708
2225239606,1427133686
3266743768,3586734441
1336470759,717240946
1365659556,485216891
1730944487,2713185753
3867488054,741185188
3920799818,474848627
751113026,2506266884
3558811644,3096877863
3640163578,585513741
3638165091,3931361972
3309596015,1732130557
715311171,3446924514
2160404291,911621079
2252649309,3588971950
517139180,1385286796
2092661128,2642882246
447118879,768750397
917773839,157060291
3624808137,509306356
1422921578,3065608016
2998735692,2907899476
1140571341,314592549
3957688423,1136197166
3265748237,2456435247
825394564,161959642
3489040613,3813751878
3734237330,579326438
2647053709,998547556
2837822616,690168127
1783843388,3345930015
3613092227,38490377
3249385566,3077901440
699883386,3125173137
2276331873,2578009875
2393515067,2176813330
1863256353,910232143
594558633,223930416
3278658280,1237369383
1167483002,56517724
447236310,3084854908
1109648695,2543774755
1062520358,2759541131
123511959,3294449890
16009555,3381468431
787735095,484938388
1031402356,292428012
2072435737,1613023691
2974604854,1572647841
1223192226,581432374
1753856479,1697988051
108181733,3125837916
1828570562,2549459028
54486568,962177869
1535831467,656295340
2226252439,1250909107
3963093423,2230379155
3385198318,1090156768
250236979,2607445859
3288747895,2527279323
1009561809,419739759
2726896801,2612968
3914192302,2655377279
3547071964,3450946288
87797049,3433761285
3859339676,2611617286
2683818365,2958765694
2406787615,3070404650
24127653,178054673
3466922260,1399954925
1382703436,3246827929
2345857426,524064526
2944276246,3173827294
1194053737,1325924535
2032221676,1143668317
2279724598,2432050879
3005051031,3871186435
3611178640,3362130800
1635106651,2256694244
124807702,3273629863
105693999,2438802513
464854389,1092834973
3640784810,3454934963
2791917795,1472113052
2247190491,1170567289
1909007895,1324071140
53136593,2912655173
3764632349,3405773456
1494866293,2646971356
1986951690,2180982784
134676618,933085290
191495664,96901048
85271303,3395392702
1960608759,1166367469
2857120672,1567305573
1360109573,2871965979
2238745753,531013455
2267123491,1761194287
4030262381,393516511
3055572887,2739102979
3392860974,3874422875
89804495,3769995003
215543947,3774239584
1516444230,1727622287
3789530511,2672983317
3737088264,1057325979
2012294038,2480644053
3332325388,963681160
1585978678,1369150382
964036493,3395512937
2743156949,1792752784
1847869415,135527006
347443869,2520897835
415901734,368001978
3598045708,3225335607
2678720113,1558487498
3693141046,258807826
579969088,3333940906
3203864908,2019274358
2198068420,2752882124
45249251,3548160976
25496260,1806652971
4049460322,3854135367
3338843317,521734970
48818298,3521133158
2331346061,2953745614
3602063380,93369198
1912838229,600879972
2336147407,2202509716
3675012928,420228648
1961988023,2508081328
1688489788,2169035615
1224433408,2823309874
1821031254,1855435659
2884934002,2333272749
1368622636,990682468
1363342531,3303892035
2202575814,3049366478
1806712634,250525004
2886526112,1686191051
1962688432,2068152847
2005592953,1359189171
2777342506,3361112917
2768094567,837408138
2319359959,379193792
1526190558,3838910493
985807257,2149371532
1757825798,1279229943
450541029,1078809622
3344625100,1635843606
2569990429,1118515627
2795490436,1490482807
3021210415,2117379298
3044158020,1381478890
955172140,3843745710
1397813821,2632566339
330659569,3341429762
1448257712,3616561247
1715349009,2853590109
2246851690,3665354824
2303542109,966547181
3317851325,1545374222
51652381,2452039953
966262369,1028475953
3901226818,3228446017
1070414337,1174587208
2651241850,2725585572
3399285260,1893319894
1755256267,1319963703
1809203748,3115729492
3895115182,2458506368
3993885911,1866495200
1172274595,3655433179
322379102,3682761319
852209293,3712091562
591798670,4050972794
1600795390,3789535498
4025860117,3796469112
2963853513,3434329567
1034681812,1863893875
2366666865,889849881
2706931671,1183788599
1370472470,928542784
152028960,1088323914
3621983110,2069097769
1751132477,1922848570
2220206440,3505354789
1848634359,3763766598
3445878575,1063136176
843304348,3550487901
2506354726,2582176746
1079295168,1959415736
2801664058,1603267260
976769405,1188592511
3320817395,313907466
3228026935,3344635132
3310144140,1037399501
2133941332,2353015001
590697772,2239144825
76596854,1389161067
2802349104,1556481625
2030526474,1132992031
3225128979,367473392
4047627354,3111709743
2169001345,1922270970
1947506982,1277525938
1282030493,712131603
1383564252,1636646810
3865110743,3923223305
2470120370,519352641
205495057,3963418573
1215631169,122364765
2263382411,373256166
2721203109,3456743617
3257784443,377356979
3494796215,956831931
1035733525,2424061168
336473813,2929367137
2040046930,2141964705
2022030115,1975500553
3989127536,2963373455
640892795,516114062
1288186919,2353587288
1893562052,1965867111
2578141461,1737736778
2206846338,2485338116
438840433,2858511081
3133839211,1679451753
329004455,3269009856
3398056229,3951839570
812161074,1722399224
3143656023,3848447932
742920360,2117134712
2565635993,690400509
1138305200,3384293349
4007561556,3738713090
692910884,2105610091
314176211,2326455585
725978425,1637426872
3066672549,528242107
1773086539,3846365474
3263075701,2923928123
4023478266,1734962060
398907778,1602664048
3542011960,2891701531
2233811855,1171487072
3086817557,3190508300
3670780671,460515817
2376478814,1375170738
431947616,3732655234
1634291151,1171287293
418306124,2624996885
103908189,2212073466
300452412,2415118873
2106359322,2616591472
3189253128,2218163006
1240910550,439304922
3336233533,983369044
743928806,3600733709
3571343073,689936016
629935841,1411666732
2397729141,3106788253
2247155956,334116596
4051647284,2250111753
3148875881,2038733231
3663642805,2156380494
1113725955,575383745
1984119949,1785018345
2996406681,3566374508
3331476467,1276189475
1947848749,192973253
3919832536,176591504
308639799,3378241822
1722988358,633870490
913473402,1811150860
3133938908,415028495
2586571238,1364338584
104785562,2606109376
3392794939,2149917582
3195100903,2030113016
918928142,1822642273
2637546645,2541724877
2574361330,304872971
297720709,1467457026
3239287836,2422669798
697909018,902361715
32890568,2463190660
2152229368,2041535102
4064440632,3696686666
1542120930,1809990435
1297201321,263811314
501441556,895667721
1105788235,3920218833
29234177,2539033768
3531165050,787064886
686834098,2029121441
3378027197,57921997
3287719605,184757724
3157544020,1091668300
2582385186,2455511712
64998963,3354833613
1077247412,2139786900
2809027831,69536317
1492034995,3404960852
3829176844,2683216052
3874137334,922281434
1527879393,3477752162
735364558,3456323533
3812694428,3342378238
102458006,2706145216
671945464,1752671455
2717669727,525290956
3856702547,3170655008
1543550103,862423214
1464120451,1807162187
2769625429,1472852125
2583868638,587409662
2343630342,2903233862
564339191,3359057848
2190088766,1237204988
2209155397,1768741826
1099054536,2733913600
2829258865,3166990969
2762957458,386510155
2234446082,3227157363
1775609007,3422741473
1003306484,1516619
780605805,22789400
2812624985,706117835
1770307831,3846892390
4012411638,1644736248
1551571006,3398750979
331405189,1545243151
1712214176,1876945164
1992841187,1084072126
172696387,122355673
3032140275,226025745
3393912044,2351923888
3105244447,1663931799
2172960409,3027542200
3086460502,3859458291
295605080,3845306107
3457370392,2655693784
1206842047,1703400636
3493485516,2999209463
2208179754,3909249870
155974573,1612749264
3149965647,1561092004
3276601500,115645730
1260406484,3078307680
2391446199,78481304
707348809,1300246591
3412633317,439223563
1532058412,3219262615
1894544452,2535286514
1112141065,162689581
2605578467,1037833378
1659059738,244177014
1461662552,402789426
3337259638,2336891497
735862429,689392770
3585316940,2790143318
3055621166,1928132207
2730753752,4044081865
107179947,3927784616
3677535169,1244506134
4040776320,2646661797
555794576,648487127
2169477416,2911659425
2290802519,43608551
3186671451,3308348489
2286466996,1683893995
3012690264,911407431
3571659155,3556187944
1267449207,233529989
1064750617,485093575
590437478,159896000
3135051092,3815525828
3540473165,3125061900
1368997673,1221324782
2457259356,341073084
1092748420,569217873
1352336899,1781862053
1353484553,1127791850
484948207,3979159479
1941723458,1158968943
176361895,1580188883
74205415,1328356174
3227260420,1435326003
3493627687,2452292022
274780593,1795579765
2946000207,2187978875
3784190199,2732823599
1724528491,1565293293
2853837977,1254841512
1236650025,1023484530
1114568261,2836865462
1574108506,1469832761
1717943928,2694364008
1626139413,300581727
3485158452,1663034113
2350926199,886515357
2959154264,2104671223
306858857,2701162068
3282553655,3592836603
77629158,2436419918
988444837,3290541308
3328985295,2309105873
679827619,1291388583
3937505670,3222967816
337143417,3277544446
3054198491,1251828744
3866043598,3193499200
2972148429,160423080
3507696638,317799716
2786390573,199892030
1919774415,3021638162
2793549205,221467197
3041846363,2810938401
3331133207,3987293118
1288064883,2085748161
2113954870,3479118853
395901451,3966316993
4034368664,3161988551
1478594463,1183262586
1137283593,1596607263
2876144998,2199962141
341351097,3869415248
2404510206,1136779804
49874270,1719823589
2931460793,224730039
2601393308,1837224221
3489092159,3600143504
466706818,3326168619
2025172316,4020209288
1220845037,2639667233
1868414308,1033402640
3506286972,851037176
3444205350,1375940076
1751735376,2459214351
1678898846,1511215479
3956446222,819365048
2890134164,4039797622
1391251207,3032344341
2424137956,2884888942
3083788349,3468077649
3142124018,1417165916
56049873,1164801008
1334354828,2417911696
3002513361,1529669860
2068745755,3218786489
1179295527,1718000551
1940645015,2916688748
1097106184,1873679724
928746114,176070558
1421123031,2146605599
1108177197,2431289509
1913101739,2383681760
499126273,230486443
2774703995,352859163
2962339040,1711118241
398001248,2619659105
3076617715,1112513341
184653569,3541112798
3960300620,717492046
1564371937,835696350
1085994891,496572934
2725046979,1294464322
369905906,1497089569
1399690740,3876295826
1973523429,3263993256
2782388605,2516329129
3820433653,3878626977
124787970,630591235
295783037,3764582165
606151897,3283976915
74967450,1176309831
1447932557,3233678402
2986741888,2929139421
30494203,3575808032
1282865387,2358013470
1428918838,1872304402
1664617941,3921955249
1161014499,1250654092
1852025390,320682046
972185228,2473204259
3133558722,3799160142
147919488,152902151
3483106390,2765349302
1181574195,898545828
417507122,3261171579
1958964375,694449418
2254143245,499144094
2531751702,3014529969
1317474755,2900833814
845660697,3137131075
3710908763,240235570
3328523433,981511485
1992267033,367218262
3086162680,2002050864
589789957,504701797
3304514738,517883310
2289074593,1555927980
3171052000,3632947697
643033163,2460467661
127287349,3593994303
335175498,3805493102
2854396420,2630475792
2204467121,700089522
3975134460,3095187510
194942027,1123762605
1641813116,1478179162
1242184460,3884459075
254117229,2994206825
2918854994,1970617967
3659310462,3257043897
2311219717,2457948017
3956345222,3694494028
1109251339,1963413229
3210332496,1750797801
760834852,3981316784
3137131867,3942386220
1394686033,371136421
3193508776,2302328009
3104849960,2718742591
1250952766,3283399371
3312701193,92643271
182473598,1215810502
2419934118,2414276419
320787968,3797239098
3475129998,1987439277
4012744037,3648789164
2694172421,3948590016
3998832035,3366535308
123824845,2191679084
857300968,534503196
2964170235,1355524566
2905313249,303016525
2411890163,2218847315
2046987026,832140737
3740921317,669014559
1683981775,2188423507
2128855292,3381103865
2499712163,2431153994
3916112909,4041253656
2178440953,720886713
745350726,1289669366
3448786724,2438703850
3513595263,2465447249
896963408,726927608
2772181446,75385829
3502959057,3271131073
1429217075,3207333144
3042510179,1213005258
979470219,3359238646
1797245781,1236783741
3607113369,2268753747
1245088313,941363012
247718006,3453504487
3079313018,3020030302
2615740993,2412286711
1446645489,3776984206
1233358341,2521922284
484759914,389065528
4011588570,2359865980
1655936528,2680156217
646304335,1589101265
692097939,3187708716
2812892028,1203560300
1359208197,3368623105
55467330,3116780467
719916457,3427121062
1447508191,2674029984
3963664276,2194257169
203102364,653962008
2025506110,1785063870
28616855,3696635777
1910540322,1319892218
400520506,1952044380
171480007,262839615
1511844094,1379245991
355445541,3409757531
244169170,1739074799
1471950095,4017520094
874746797,797785429
2672288410,438333626
3705406292,3132055989
3450794844,1083136992
1346832425,801285302
3731328084,1569571172
1821137775,2210029773
1522174424,2359593147
2250497357,1736030746
638320445,2597170429
45198503,747019661
1159588958,1655021152
560273011,2589305400
1394291325,1675905531
3506648252,2909999822
196814159,3168122577
948097341,734974272
3521167677,2227606903
2892908096,2621125216
1368837728,3316827962
1249206311,3061869829
3860695975,2250597918
34517005,1804992802
90354907,3410154221
3359060893,1026415978
1445117398,2177368594
3909221143,2809101157
545877006,332003628
1621792790,2896413366
339176587,1446185395
2070071400,3898031650
2882968423,3496986355
2932356432,2328549736
2072901351,678132709
1681214180,761846811
2206968824,2809148333
2290413110,1895582239
1537742312,1178522124
3023023597,3569301846
1353966831,3907715141
3888238098,618466460
2066491646,1708679406
2603846656,2092109608
313168356,3574322943
3825279741,1326451070
2928760054,2468130614
2380644606,2473277424
3783546069,589073050
1487266291,3519558541
1828505479,1909363965
2739465453,3784750653
